game_id,club_id,hosting,opponent_goals,own_goals
24822431,995.0,Home,0.0,0.0
24822551,595.0,Home,2.0,1.0
24822571,1082.0,Home,1.0,1.0
24822681,826.0,Home,1.0,1.0
24823371,969.0,Home,2.0,1.0
24823651,1158.0,Home,0.0,2.0
24823731,826.0,Home,1.0,0.0
24824271,855.0,Home,1.0,1.0
24824311,595.0,Home,2.0,1.0
24824641,14171.0,Home,3.0,2.0
24824741,855.0,Home,1.0,2.0
24833341,496.0,Home,0.0,3.0
24833351,2784.0,Home,0.0,4.0
24834251,1041.0,Home,2.0,1.0
24834451,681.0,Home,0.0,1.0
24834671,1083.0,Home,0.0,0.0
24860121,33179.0,Home,2.0,1.0
24860131,13017.0,Home,2.0,0.0
24863961,968.0,Home,2.0,2.0
24865051,984.0,Home,2.0,0.0
24865271,984.0,Home,0.0,4.0
24865311,31.0,Home,1.0,2.0
24865451,180.0,Home,0.0,8.0
24865471,512.0,Home,1.0,2.0
24865861,873.0,Home,1.0,3.0
24866301,3008.0,Home,1.0,0.0
24866691,11.0,Home,0.0,3.0
24866841,762.0,Home,2.0,1.0
24866881,379.0,Home,0.0,3.0
24867061,2288.0,Home,1.0,1.0
24867181,289.0,Home,2.0,0.0
24868101,631.0,Home,0.0,1.0
24868371,984.0,Home,0.0,3.0
24873441,3725.0,Home,0.0,3.0
24873451,28095.0,Home,2.0,1.0
24882211,68608.0,Home,1.0,3.0
24893361,11127.0,Home,1.0,0.0
24893551,653.0,Home,0.0,1.0
24893621,2672.0,Home,1.0,1.0
24908531,610.0,Home,1.0,1.0
24908701,2503.0,Home,0.0,1.0
24908721,1465.0,Home,0.0,1.0
24908881,2420.0,Home,1.0,0.0
24923511,1050.0,Home,0.0,4.0
24923601,339.0,Home,1.0,0.0
24923881,669.0,Home,4.0,0.0
24923901,6676.0,Home,2.0,1.0
24924001,409.0,Home,2.0,4.0
24924121,383.0,Home,1.0,1.0
24924321,368.0,Home,0.0,2.0
24924571,498.0,Home,0.0,1.0
24924641,338.0,Home,1.0,3.0
24924681,2425.0,Home,2.0,2.0
24937031,20923.0,Home,2.0,1.0
24937151,34230.0,Home,0.0,3.0
24943751,6418.0,Home,1.0,3.0
24944101,265.0,Home,1.0,2.0
24944151,6676.0,Home,1.0,1.0
24944181,653.0,Home,2.0,0.0
24944381,7185.0,Home,1.0,1.0
24944791,683.0,Home,0.0,2.0
24944821,2671.0,Home,2.0,2.0
24952981,336.0,Home,1.0,0.0
24953111,12.0,Home,7.0,1.0
24953611,418.0,Home,0.0,4.0
24953651,16.0,Home,1.0,1.0
24953731,621.0,Home,0.0,2.0
24956881,865.0,Home,0.0,2.0
24969101,20780.0,Home,3.0,0.0
24980811,3024.0,Home,0.0,7.0
25003971,1532.0,Home,1.0,2.0
25011741,3062.0,Home,1.0,1.0
25011931,2726.0,Home,1.0,1.0
25012031,21957.0,Home,1.0,3.0
25027141,12886.0,Home,3.0,2.0
25027231,3000.0,Home,4.0,1.0
25037241,601.0,Home,1.0,2.0
25037461,28643.0,Home,1.0,0.0
25037591,520.0,Home,1.0,0.0
25037881,354.0,Home,1.0,1.0
25042661,2477.0,Home,2.0,1.0
25050401,987.0,Home,1.0,0.0
25050421,2759.0,Home,3.0,2.0
25050951,2759.0,Home,1.0,0.0
25051051,2999.0,Home,3.0,0.0
25051151,1519.0,Home,2.0,0.0
25067301,4128.0,Home,0.0,2.0
25067341,964.0,Home,0.0,5.0
25071451,9527.0,Home,0.0,1.0
25071671,3455.0,Home,2.0,0.0
25083691,660.0,Home,0.0,1.0
25083701,338.0,Home,0.0,2.0
25084081,5842.0,Home,2.0,1.0
25085431,6414.0,Home,2.0,4.0
25109601,3020.0,Home,2.0,1.0
25127581,601.0,Home,1.0,3.0
25127811,58.0,Home,0.0,3.0
25129521,6414.0,Home,0.0,1.0
25141171,2577.0,Home,2.0,1.0
25141251,1112.0,Home,1.0,3.0
25148581,3729.0,Home,1.0,0.0
25148861,903.0,Home,1.0,3.0
25165441,3820.0,Home,1.0,0.0
25173421,2454.0,Home,1.0,1.0
25174591,339.0,Home,0.0,1.0
25174701,6992.0,Home,3.0,0.0
25175271,720.0,Home,0.0,4.0
25176131,32755.0,Home,2.0,0.0
25185231,1084.0,Home,0.0,2.0
25185361,368.0,Home,0.0,4.0
25186021,7185.0,Home,0.0,3.0
25186091,3060.0,Home,0.0,4.0
25186201,2672.0,Home,0.0,3.0
25186771,1091.0,Home,1.0,1.0
25240261,202.0,Home,0.0,4.0
25247581,2420.0,Home,0.0,2.0
25261971,336.0,Home,1.0,4.0
